FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
606,751,34.0,2000-10-13
606,752,10.0,2000-10-13
607,750,27.0,1997-05-01
607,751,27.0,2000-10-13
608,750,22.0,1997-05-01
608,751,22.0,2000-10-13
609,750,28.0,1997-05-01
609,751,28.0,2000-10-13
610,750,29.0,1997-05-01
610,751,29.0,2000-10-13
611,750,30.0,1997-05-01
611,751,30.0,2000-10-13
612,750,43.0,1997-05-01
612,751,27.0,2000-10-13
612,752,11.0,2000-10-13
612,758,5.0,2000-10-13
613,750,40.0,1997-05-01
613,751,28.0,2000-10-13
613,752,12.0,2000-10-13
614,750,41.0,1997-05-01
614,751,29.0,2000-10-13
614,752,12.0,2000-10-13
615,750,43.0,1997-05-01
615,751,30.0,2000-10-13
615,752,13.0,2000-10-13
616,750,36.0,2001-08-15
616,751,36.0,2000-10-13
617,750,25.0,1997-05-01
617,751,25.0,2000-10-13
618,750,29.0,1997-05-01
618,751,29.0,2000-10-13
619,750,32.0,1997-05-01
619,751,32.0,2000-10-13
620,750,75.0,1997-05-01
620,751,36.0,2000-10-13
620,759,39.0,2000-10-13
621,750,56.0,1997-05-01
621,751,29.0,2000-10-13
621,752,27.0,2000-10-13
622,750,67.0,2001-08-15
622,751,32.0,2000-10-13
622,752,35.0,2000-10-13
623,750,19.0,1997-05-01
623,751,19.0,2000-10-13
624,750,23.0,1997-05-01
624,751,23.0,2000-10-13
625,750,36.0,1997-05-01
625,751,23.0,2000-10-13
625,752,13.0,2000-10-13
626,750,46.0,2001-08-15
626,751,46.0,2000-10-13
627,750,38.0,1997-05-01
627,751,38.0,2000-10-13
628,750,47.0,2000-10-13
628,751,47.0,2000-10-13
629,750,48.0,1997-05-01
629,751,48.0,2000-10-13
630,750,48.0,2001-08-15
630,751,48.0,2000-10-13
