FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry,MeasureDescription
213,1004,0.03762,1997-05-01,
213,1003,0.09404,2003-03-21,
213,1484,0.005,2004-07-07,
214,439,0.06122,1997-05-01,
214,385,0.18242999999999998,1997-05-01,
214,415,3.0853800000000002,2003-03-21,
214,1005,0.004,2003-03-21,
215,148,0.04,1997-05-01,
215,385,0.024489999999999998,2003-03-21,
215,439,0.008159999999999999,2023-05-26,
215,1484,0.005,2004-07-07,
216,341,0.8783799999999999,1999-06-22,
216,385,0.13176,2003-03-21,
216,415,2.1978,2003-03-21,
216,439,0.042859999999999995,2003-03-21,
217,341,0.8783799999999999,1999-06-22,
217,385,0.13176,2003-03-21,
217,415,2.1978,2003-03-21,
217,439,0.042859999999999995,2003-03-21,
218,341,0.8783799999999999,1999-06-22,
218,385,0.13176,2003-03-21,
218,415,2.1978,2003-03-21,
218,439,0.042859999999999995,2003-03-21,
219,867,0.2,2004-08-27,
219,1601,0.45,2004-08-27,
232,49,0.1681,2015-03-11,
232,502697,0.3362,2016-09-20,
283,385,0.07,2015-03-09,
283,341,0.467,2015-03-09,
283,383,0.5838,2015-03-09,
285,341,0.46149999999999997,2015-03-11,
285,385,0.069,2015-03-11,
285,383,0.5768,2015-03-11,
286,428,0.22390000000000002,2015-03-11,
286,341,0.7464,2015-03-11,
286,383,0.9329999999999999,2015-03-11,
286,640,0.44780000000000003,2015-03-11,
287,385,0.068,2015-03-11,
287,341,0.455,2015-03-11,
287,383,0.5687,2015-03-11,
291,385,0.054000000000000006,2015-03-11,
291,341,0.36119999999999997,2015-03-11,
291,383,0.4515,2015-03-11,
293,385,0.0644,2015-03-11,
293,341,0.4291,2015-03-11,
293,383,0.5364,2015-03-11,
394,341,0.3725,2015-03-11,
394,385,0.0559,2015-03-11,
394,383,0.4656,2015-03-11,
414,341,0.8664400000000001,1999-06-23,
414,385,0.12973,2003-03-24,
414,439,0.04324,2003-03-24,
414,415,2.1661,2003-10-15,
414,1573,0.1,2004-07-08,
415,341,1.0354999999999999,1999-06-03,
415,385,0.15203,2003-03-24,
415,415,2.5887599999999997,2003-03-24,
415,428,0.30405,2003-03-24,
416,341,0.9213899999999999,2003-03-24,
416,385,0.13784000000000002,2003-03-24,
416,415,2.30347,2003-03-24,
416,439,0.045919999999999996,2003-03-24,
416,1352,0.09214,2004-07-08,
417,341,0.9213899999999999,2003-03-24,
417,385,0.13784000000000002,2003-03-24,
417,439,0.045919999999999996,2003-03-24,
417,1352,0.09214,2004-07-08,
418,341,0.91293,2003-03-24,
418,385,0.13682,2003-03-24,
418,415,2.28233,2003-03-24,
418,439,0.045919999999999996,2003-03-24,
418,1352,0.09129,2004-07-08,
419,341,0.9213899999999999,2003-03-24,
419,385,0.13784000000000002,2003-03-24,
419,415,2.30347,2003-03-24,
419,439,0.045919999999999996,2003-03-24,
419,1352,0.09214,2004-07-08,
420,341,0.9213899999999999,2003-03-24,
420,385,0.13794,2003-03-24,
420,415,2.30347,2003-03-24,
420,439,0.045919999999999996,2003-03-24,
420,1352,0.09214,2004-07-08,
422,341,0.91293,2003-03-24,
422,385,0.13682,2003-03-24,
422,415,2.28233,2003-03-24,
422,439,0.045919999999999996,2003-03-24,
422,1352,0.09129,2004-07-08,
423,341,0.91293,2003-03-24,
423,385,0.13682,2003-03-24,
423,415,2.28233,2003-03-24,
423,439,0.045919999999999996,2003-03-24,
423,1352,0.09129,2004-07-08,
424,341,0.9213899999999999,2003-03-24,
424,385,0.13784000000000002,2003-03-24,
424,415,2.30347,2003-03-24,
424,439,0.045919999999999996,2003-03-24,
424,1352,0.09214,2004-07-08,
426,341,0.92984,1999-06-03,
